 TITLE,LastName,FirstName, SEX,Rtg_Nat
,AAGCOPRA, Al Vincent,,1841
,AALA, Klye Jozef,,1784
,AALA, Rendrick John,,
,AARUSH, Mathur,,1782
,ABA, Catheren,F,1741
,ABA, Lorcdchan,,1649
,ABA, Mik Eilner,,
,ABA-A, Reynaldo,,2077
,ABABA, Lee Jean,F,1881
,ABABA, Lorraine,F,1581
,ABABAO, Alanis Mikaela,F,1726
,ABABAT, Rodrigo,,2170
,ABABON, Adrian Ace,,1592
,ABABON, Cherish,F,1533
,ABABON, Eliza,F,1876
,ABABON, Eric,,1855
,ABABON, Kent David,,1687
,ABABON, Krizle Marie,F,1653
,ABABON, Ryan Charlz,,1699
,ABACA, Xyrus James,,
,ABACAHIN, Maxine,F,1564
,ABACAHIN, Yexiah Maxine,,1672
,ABACAN, Aj Gabriel,,1618
,ABACAN, Johnson,,1763
,ABAD, Adolfus II,,1537
,ABAD, Aeriel Colin,,
,ABAD, Alex,,
,ABAD, Alnor,,1891
,ABAD, Clark John,,
,ABAD, David,,1623
,ABAD, Lance Blue,,1882
,ABAD, Leonico Arden,,1885
,ABAD, Maia Jasmine,F,1528
,ABAD, Marigel,F,1449
,ABAD, Marionito,,1902
,ABAD, Mary Ann,F,
,ABAD, Mateo Jose F.,,1715
,ABAD, Miguel Dannello,,
,ABAD, Mowlie Keley,,1582
,ABAD, Narayan,,1890
,ABAD, Nathaniel Romeo,,1587
,ABAD, Rodrigo,,1635
,ABAD, Terra Brielle,F,1574
,ABAD, Verbena,F,1651
,ABAD, Verniedeck,,2139
,ABAD, Victor A.,,
,ABADA, Al Godwin,,1452
,ABADAY, Chesteo Kit,,1753
,ABADAY, Kaiser Mackenzie,,
,ABADAY, Kyla Marie,F,
,ABADAY, Paulo,,
,ABADESCO, Daniel,,
,ABADESCO, Miguel,,
,ABADESCO, Nathanael,,
,ABADESCO, Paolo Josef,,
,ABADIANO, Kristoff,,1694
,ABADIES, Raziya Rose,F,1614
,ABADIEZ, Charlita,F,1640
,ABADIEZ, Daryl Jay,,1825
,ABADILLA, Jenard,,
,ABADILLA, Natasha,F,1824
,ABADINAS, Ralph Kenneth,,
,ABAGA, Eeuwig Martin,,1635
,ABAGA, Michael,,1880
,ABAGAT, Rex,,1840
,ABAIGAR, Martin Jan,,1857
,ABAIGAR, Michael,,1900
,ABAINCIA, Jaylo,,1714
,ABAINCIA, Mark Anthony,,1735
,ABAINZA, Desiderio Jr.,,1932
,ABAJON, Jonalyn,F,1870
,ABAKAN, Johnson,,1746
,ABALAYAN, Alohah,F,1896
,ABALDE, Jesrome,,1894
,ABALLA, Shiela,F,1636
,ABALLAR, Jake Andre S.,,2047
,ABALLAR, Jamie Zach S.,,1693
,ABALLAR, Jess Raphael S.,,2173
,ABALLAR, June Lynard S.,,1612
,ABALLE, Alexia Catherine,F,1809
,ABALLE, Johan Nino,,
,ABALLE, Jose Jr.,,
,ABALLE, Luke Riley,,1609
,ABALLE, Noemi,F,1741
,ABALLE, Ralfh,,1674
,ABALO, Ceyan Qin P.,,1634
,ABALO, Christian,,1734
,ABALO, Jacqpatch Immanuel C.,,2056
,ABALO, Jea Pcholuo C.,,2010
,ABALO, Jea Phylyn C.,F,1613
,ABALO, Kyle Zephyrr,,2082
,ABALO, Xeon Garrick,,
,ABALORIO, Sofia,F,1747
,ABALOS, Alexander A.,,
,ABALOS, Arianne Rose,F,1843
,ABALOS, Brian Aldrich,,1850
,ABALOS, Camilla,F,1783
,ABALOS, Carl Joaquin,,1667
,ABALOS, Carlo Mark,,1725
,ABALOS, Charina Mae,F,1785
,ABALOS, Chloe Jane,F,1782
,ABALOS, Conrad King,,
,ABALOS, Crisan Theodore,,1575
AIM,ABALOS, Dan,,
,ABALOS, Dexter Jan,,
,ABALOS, Domingo,,
,ABALOS, Ervin,,1797
,ABALOS, Fredie,,
,ABALOS, Frencis Abegail,F,
,ABALOS, Imelda,F,1779
,ABALOS, Jake Dannyl,,
,ABALOS, Jannah Cassandra,,1661
,ABALOS, Jerry Eveis,,1857
,ABALOS, Jillian,F,1701
,ABALOS, Joana Claire,,1607
,ABALOS, Joselito,,1858
,ABALOS, Leonardo Jr.,,2072
,ABALOS, Lito,,1813
,ABALOS, Malvin B.,,1889
,ABALOS, Mark Benedict B.,,1775
,ABALOS, Mark Lester,,1920
,ABALOS, Mhenard,,1755
,ABALOS, Renato,,1798
,ABALOS, Rhonipher,,1893
,ABALOS, Ronnie,,1723
,ABALOS, Sim,,1872
,ABALOYAN, James,,1740
,ABALOYAN, Joel,,1919
,ABALOYAN, Josefina,,1401
,ABALOYAN, Marciano Jr.,,1876
,ABALUNA, Godrick,,1667
,ABALUNA, Grayson,,1451
,ABAN, Allen Jones,,1649
,ABAN, Amiel Jude,,
,ABAN, Charles Andrei,,1588
,ABAN, Charles Andreiy,,
,ABAN, Humphrey,F,1609
,ABAN, Ivan Dave,,1638
,ABAN, James John,,1810
,ABAN, John,,1889
,ABAN, Justin Jhayron,,
,ABAN, Kevin Dave,,
,ABAN, Marevil,F,1902
,ABAN, Marvin,,
,ABAN, Neilchan P.,,2004
,ABAN, Ronald,,1876
,ABAN, Sonny Boy,,1463
,ABANCE, Bryan Kate,,
,ABANCE, Shou Sheena,F,1867
,ABANCO, Einre Mar,,1826
AFM,ABANCO, Ellaine Summer G.,F,1784
,ABANCO, Eric D.,,2157
,ABANCO, Ernie,,2176
,ABANCO, Shayla Winter,F,1401
AIM,ABANCO, Stella Mar,F,1872
,ABANDO, Alex John Iii,,1741
,ABANEL, Decster,,
,ABANERA, Rahja,,
,ABANES, Carl Nathan,,
WNM,ABANES, Carmelita,F,1887
,ABANES, Catherine Kyle,F,1674
,ABANES, James Zyrill M.,,1626
,ABANES, Jeanne Nicole,,
,ABANES, John Ranel,,1788
,ABANES, Loreiz Nicole,F,1401
,ABANES, Maria Fe,F,
,ABANES, Raymond,,1941
,ABANES, Richard,,
,ABANG, Cailey Felize,F,1562
,ABANG, Jason,,1932
,ABANG, Jimmy,,1595
,ABANG, Wadim,,1864
,ABANG, Wilfredo,,1891
,ABANGAN, Adrian,,1520
,ABANGAN, Joshua,,1693
,ABANGAN, Judy Franz,F,1760
,ABANGAN, Richard,,2024
,ABANGAN, Richard Jr.,,1676
,ABANGON, Adrian Abao,,1698
,ABANI, Abdul-Wakil,,1824
,ABANIEL, Christine Jylle,F,
,ABANIEL, Christine Jyne,F,1573
,ABANILLA, Jan Dru,,1474
,ABANILLA, Manolito,,1908
,ABANILLA, Prince Scyrel,,
,ABANO, Cherry Marie,F,1875
,ABANO, Dante Sr.,,1912
,ABANO, Edmund,,
AGM,ABANO, Gary,,2057
,ABANO, Isabela Grace,F,1808
,ABANO, Joseph Aurillos,,1401
,ABANTAO, Hanz Efren,,
,ABANTE, Jeany Joy,,
,ABANTE, Jesteo Gerard,,1553
,ABANTE, Joross,,1838
,ABANTE, Mc Anthony Fhytz,,1594
,ABANTO, Alijah,,1755
,ABANTO, Hafsa,F,
,ABAO, Adrian,,1887
,ABAO, Bonifacio,,1588
,ABAO, Cedric,,1848
,ABAO, Chistian Joshua,,1857
,ABAO, Cris Allane Mae,F,
,ABAO, Earl Nathan,,1637
,ABAO, Eimear Aviela,F,1553
,ABAO, Mark Joseph,,1831
,ABAO, Marry Anjeanette,F,1698
,ABAO, Prince Jamar,,1593
,ABAO, Zelyka B.,F,1582
,ABAPO, Guian Feb,,
,ABAPO, John Fritzgerald,,1770
,ABAPO, Joseph Glenn,,
,ABAQUITA, Christine Rose,F,
,ABAQUITA, Davebrille,,1803
,ABAQUITA, Fhea Therese,F,1836
,ABAQUITA, Harrie Jay,,
,ABAQUITA, Mark Jhon,,1816
,ABAR, Herbert,,1893
,ABARA, Thoedore,,1698
,ABARCA, Edwin,,1850
,ABARCA, Missyrain,F,1584
,ABARCA, Rodjean,F,1408
,ABARCA, Shernan,,1518
,ABARDO, Hannah,F,1741
,ABARE, Jobert,,1887
,ABARICIA, Alekhine,,1758
,ABARICIA, Jholand,,2026
,ABARICO, Gabriel J.,,1765
,ABARIENTOS, Ronnel,,
,ABARINTOS, Angelo Vien Rigel,,1561
,ABARO, Charlene,F,
,ABARO, John Eric,,
,ABARO, Mica Kaela,,
,ABARQUEZ, Edison,,1987
,ABARQUEZ, Enrique Jr.,,1795
,ABARQUEZ, Matthew Dustin,,1453
,ABARQUEZ, Ryan A.,,
,ABARRA, Angelo,,1881
,ABARRATIGUE, Ariel,,1818
,ABARRIENTOS, Jimmy,,1904
,ABARRIENTOS, Phil. Seonine,,1711
,ABARTE, Sherwin,,1659
,ABAS, Esmael,,2008
,ABAS, Francis Judiel,,1650
,ABAS, Jao,,
,ABAS, Julia Amanda,F,1537
,ABAS, Jumael,,1760
,ABAS, Sittie Jayann,F,1709
,ABASOLA, Keith Patrich V.,F,1528
,ABASOLA, Sherwin,,1578
,ABASOLO, Joel,,
,ABASOLO, Jose Miguelle,,
,ABASOLO, Krizza Lyn,F,1975
,ABASOLO, Matthew Valens,,
,ABASOLO, Silverio,,2072
,ABASTA, Den Mark,,1794
,ABATAYO, Bernard,,1761
,ABATAYO, Ivy,F,1788
,ABATAYO, John Rolly,,1720
,ABAUT, Jeffrey,,1905
,ABAWAG, Keign Alwin,,1571
,ABAY2X, Mary Jane,F,1600
,ABAYA, Andres,,1813
,ABAYA, Cyril Prince,,1569
,ABAYA, Denise,F,1808
,ABAYA, Ferreol Jr.,,1750
,ABAYA, Napoleon,,1845
,ABAYA, Ranz Harry,,1614
,ABAYA, Sophie,F,1560
,ABAYAN, Alfredo,,1801
,ABAYAN, Fertuliano,,1670
,ABAYAN, Ivance Ritchie,,1888
,ABAYAN, Zack Aeon,,
,ABAYARI, Cyrus,,1902
,ABAYON, Andrei,,1498
,ABAYON, Antonia Louise,F,1489
,ABAYON, Ericsson,,1879
,ABAYON, Janna,F,
,ABAYON, Lowie Nel,,1665
,ABAYON, Neil,,2026
,ABAYON, Rico James,,1820
,ABAYON, Robelyn,F,1721
,ABBA, Fortin,,1742
,ABBACAN, James,,1731
,ABBACAN, Laurel,,1881
,ABBAS, Adrian,,1812
,ABBAS, Alruden,,1820
,ABBU, Reynaldo Jr.,,1962
,ABCEDE, Kent Bryle,,1652
,ABCEDE, Kidryc Arvel P.,,1681
,ABDILLAH, Pundoma,,1805
,ABDON, Liane,F,1694
,ABDUHAIL, Mahmud Uzhayr,,
,ABDUL, Asis,,1770
,ABDUL, Benjar,,1706
,ABDUL, Charles Dave,,1763
