TITLE,LastName,FirstName,SEX,Rtg_Nat
,ABALOS, Renato,,1841
ACM,ABANES, Maria Fe,F,
,ABISAN, Roger,,1883
,Acol, Edgar,,1884
,ADRA, Roderenz,,2046
,ADVINCULA, Raymark,,2067
NM,AGUILERA, Felix,,1831
,ALIPOON, Kentrry Ryan,,1809
,ALIVIO, Junnie,,1638
,ALLEVA, Lucky One,,1692
,Almadin, Jan Yuniko,,1871
,Alvarado, Ricardo B.,,1912
,ANGELES, Citadel,,
,ANTONIO, John Lee,,2042
,Arcede, Ruel,,1864
,Arellano, Vince Albert,,1932
,AREQUE, Jerry,,2120
,ARROYO, Christian,,2034
,Atutubo, Rein Nathaniel,,1613
,AUREADA, Renante,,2111
,AVELLANEDA, Anthony P.,,1851
,AZAOLA, Mark Alfonso L.,,1847
,Azares, Raniel V.,,1810
,Bacasmas, Gabrielle,F,1806
,Bajarias, Franchezka F.,F,1777
AGM,BALANAY, Marc Francis,,1966
,Baliwang, Mark John T.,,1964
,BALLESTEROS, Larry,,1908
,BAUTISTA, Ma. Caissa Pauleen,F,1674
,BAUTISTA, Miel V.,,1929
,BAUTISTA, Ruel,,1955
,BAYANI, Bryce Clarence S.,,1988
,BERENGUILA, Marlon,,1920
,BERNARDINO, Faye,F,1794
NM,BERNARDO, Darry T.,,2236
,BONIFACIO, Patrick,,1775
,BRAVO, Mark,,1963
,BRITANICO, Cyril,,1900
,Bueta, Dennis,,1857
,BUNGATO, Elvin,,1566
,Cacatian, Charles Kentjohn,,1778
,CACHO, Robert C.,,1902
,CALAMBA, Christian Jacob,,1795
,Calamba, John Mark,,1648
,CALAR, Erwin P.,,1944
,CALUNGSOD, Kiev,,1754
,CANIETE, Mario S.,,1812
,CAOILE, Michael Arman,,1978
,Caraig, Leo Aldrin,,1950
,CARTEL, Gabriel James,,1915
,CASABUENA, Freddie,,2082
,Castillo, Julio Jose,,1699
,CASTILLO, Sean Ethan,,1599
,Caubang, Lance,,1933
,CERVANTES, Kurt Brayden,,1807
,CHUA, Mark Alvin,,1912
,CINCO, Rj Russell Dr.,,1589
,CLARITO, Kyle Jhazmin P.,F,1717
,Clemente, Rogelio,,1851
,Colicot, Carlos,,1952
,CONSOLACION, Precious,F,
,CONSTANTINO, Marlon,,1951
,CORRE, Jann Gil,,1987
,CREBILLO, Jefte,,2047
,CRISMO, Joshua Hesed G.,,1906
,CRISTE, Jaime,,1952
,Cruz, Amanda,F,1575
,Cruz, Florel,,1861
,CRUZ, John Ondrei,,
,CUEVA, Adrian,,1762
,CULANGAN, Randy,,1931
,DALAGAN, Sara,F,1925
,DE ASAS, Aaron Francis,,1927
,DE MESA, John Calvin,,1824
,DELA CRUZ, Jeffrey,,1806
,Dela Cruz, Rudmark,,1900
,Dela Cruz, Sonny,,1784
,DELFIN, Joel,,1928
,DELGADO, Jorge Jr. C.,,1988
,DELOS SANTOS, John Mauricc,,1855
,Diaz, Ramci,,1768
,Dimatangihan, Alden Shawn,,1713
,Dimatangihan, Anica Shey M.,F,1811
,Dionisio, Federico,,1816
,DIPAD, Leah Mae,F,1626
,DIRECTO, Romelio,,1940
,Doblon, Ariel,,1784
,DOCOT, Jonathan,,2029
,DOMINGO, Juan Miguel,,
,DULTRA, Jhune Angelo,,1985
,Dumadag, Laurence Wilfred,,1856
,Eclevia, Daniel Gil E.,,1920
,ERAMIS, Rojie Lyx,,1884
,Esplana, Manuel,,1849
,Estoril, Andrade,,0
NM,FAELDONIA, Jasper,,2222
,FORTUS, Allan Recci,,
AIM,FRANCISCO, Cyrus Vladimir,,2194
,FRANCISCO, French Cobi J.,,1970
,FRANCISCO, Gian Carlisle J.,,1735
,GADDI, Marianne Venice,F,1680
,Gadut, Emcel Jules V.,,1862
,Gafate, Rainier Santi Jesu S.,,1950
,Galang, Jay-El,,1879
,Garcia, Caleb Royce,,1956
,GARCIA, Garry,,2118
,Garcia, Iora Megan,,1704
,GARCIA, John Andrew,,2109
,Garcia, Luke Christian,,1449
,Garcia, Zedekiah Kenmei,,1671
IM,GARMA, Chito,,2165
,GELUA, Rhammille Izelle B.,F,1757
,GOLORAN, Jhulo,,2213
,GONZALES, Christian Emmanuel,,1663
,GONZALES, John Stephen,,1893
,Gonzales, Vladimir P.,,2061
,Gravillo, Nathaniel,,1862
,GRAVILLO, Norvin,,2082
,GUILARAN, Jhorlan James,,1740
,GUMILA, Narciso Jr.,,1966
,Haguimit, Al Nikko,,1703
WNM,HERNANDEZ, Lexie Grace,F,2180
,HILARIO, Allan Gabriel P.,,1967
,HORNILLA, Reenan,,1977
,HUDENCIAL, Gian Melise,F,
,Ingles, Clark Kenneth,,1704
,ISIDRO, Laurice Morissette,F,1530
,JACUTINA, Marcus Louise,,1997
,Jallorina, Paul Kira,,1654
ACM,JARAMILLO, Alvin,,1649
,JIMENEZ, Jethro F.,,2023
,JIMENEZ, Ricardo,,2061
,JOCSON, Ritchie,,2016
,Lacostales, John Michael,,1794
,LALIMO, Christenzien Joshua,,2022
,LAPLANA, Michael L.,,1786
,LEGASPI, Gary,,2135
,LIBAY, Domingo,,2013
,LIGON, Francis,,1748
,LIM, Samson Chhiu Chhin Iii,,2156
,LIMPO, Clefzon,,1960
,Llera, Fidel,,1958
,LOBITANA, Rafael M.,,1996
,LUCION, Rommel,,1867
,Lumanao, Jacob,,1595
,MAAMO, Harrison,,2049
,Macaspac, Adriel Nicolas,,1774
,MADERA, John Adonairam O.,,1807
,Magsalay, Kyros Andrei,,1772
,Mahawan, Arnel Luna Jr.,,2016
AIM,Mahawan, John Paul Luna,,2055
,MALALUAN, Guilberto,,1695
,Manumbilao, Mohammad,,1776
,Marcellano, Charls Leandro L.,,1906
,Marcos, Jeffry,,1846
,MARIANO, Vincent,,2038
,Matson, Louis Angelo,,1744
,MEDRANO, Dioniver,,1823
,Melendres, Leonides Karlo Iii,,1896
,MENDEZ, Sophia Nathalie Y.,F,1600
,MENDOZA, Aeiona Lou Tomas,F,1798
,MENDOZA, Cheyzer Crystal Citadel,F,1828
,MIRANA, Leo,,2041
,Miranda, John Ardee,,1868
,MIRANO, Kevin,,2170
,Montellano, Jerwin,,1743
NM,NAZARIO, Marc Christian,,2075
,NEMIS, Marc,,1880
,NICDAO, Willie Jade,,1934
,Obillo, Rheybelle A.,,2016
AIM,Omana, Liam Benedict,,1822
,ONCITA, Sumer Justine,,1995
AGM,ORIENDO, Jan Roldan,,2033
,ORNIDO, Adrian Martin,,1774
,Pabiana, Cedrick,,1761
,PABLO, Randy John,,1963
,PABLO, Roy John,,2020
,PADRIGONE, Darwin,,1867
,PALERMO, Ferdinand,,1987
,PALMA, Lee Roi,,2218
,PANUELOS, Glenn Dale A.,,1832
,PATUBO, L-Mar,,1776
,PE BENITO, Anthony O.,,1944
,PEREZ, Ilann,,1954
,Perez, Winson,,1818
,PINGOL, Reynaldo,,1922
AIM,Puso, King Whisley,,1894
,RANCAP, Kelly T.,,2181
,REBULANAN, Cheryl,F,1626
,RECOSOSA, Ryan,,1994
,REYES, Mark Gerald,,2128
,REYES, Narquingel,,2148
,Rivera, John Luis A.,,1903
AFM,ROBLES, Prince Paolo,,1899
,ROMA, Alvin,,2027
NM,ROSAUPAN, Carlo Magno,,2039
,ROSAUPAN, Jan Lei Kian,,2022
,RUGASAN, Noralinda,F,
AIM,SAGUBAN, Dave Trevor,,1881
,SALCEDO, Renante,,1954
,SALINAS, Roberto Jr.,,1858
,SALUBRE, Junrie,,1909
NM,SALVADOR, Louie,,2205
,SAMILLANO, Dionisio Jr.,,1700
,SAN ANTONIO, Andrew Jr. F.,,2057
,Santiago, Princess,F,
,Santiago, Stephanie,F,
,SANTOS, Eduel,,1673
,Sarahan, Prince Neezhel,,1855
AGM,Sebolino, Reu Gabriel,,1900
,SEGALES, Alejandro,,1868
,SELVIDO, Franca Marie,F,1592
,SERRANO, Ariel,F,1895
,Serrano, Ariel,F,1934
AFM,SILVA, Zedric,,1883
,SISTER, Rene,,1452
,SONEJA, Dante,,1780
,Soria, Marguel Jr.,,1519
,Sosa, Renz Jemuel,,1683
,SOTTO, Mark Kevin,,1798
,Sunga, John Frederick O.,,1831
WNM,SUYAMIN, Bonjoure Fille B.,F,1945
,Sy, Asher Judd,,1986
,TABLAN, Austin Jay,,1925
,TABOR, Erwin,,1926
,Tagalan, Keinth Marc,,1674
,Talapian, Teorwin,,1980
,TAPERO, Matteo Yosef,,1628
,TENORIO, Bernard,,1878
,Tenorio, Rian Paul,,2029
,THOMPSON, Christian Roche,,1803
,TIU, Sherwin,,2315
,Torena, Clde Jared,,1988
,Torena, Zafirah Jahly,F,1776
,TORRES, Rene,,1622
,TUPAS, Mark Christopher,,1752
,TUPAZ, Aldrin,,
,VELARDE, Edilberto Jr.,,1956
,VILLA, Ervil M.,,1915
,VILLANUEVA, Gregorio,,1800
,VILLANUEVA, Jerome,,2230
,VILLARUZ, Andrew John A.,,1435
AFM,Wabe, Benoni,,1778
,YAMOG, Mark Lester,,1842
,Yanzon, Elmer Jr.,,1851
,Yanzon, Mervince,,1834
,ZAMORA, Mariko,,1957
