 TITLE,LastName,FirstName, SEX,Rtg_Nat
,ABALOS,Renato,,1841
ACM,ABANES,Maria Fe,F,
AFM,ABELEDA,Ritchie James,,2054
,ABISAN,Roger,,1927
,Acol,Edgar,,1884
,ADRA,Roderenz,,2046
,ADVINCULA,Raymark,,2067
NM,AGUILERA,Felix,,1842
NM,ALCODIA,Romeo,,2059
,ALIPOON,Kentrry Ryan,,1809
,ALIVIO,Junnie,,1638
,ALLEVA,Lucky One,,1692
,Almadin,Jan Yuniko,,1871
,Alvarado,Ricardo B.,,1912
,ANGELES,Citadel,,
,ANTONIO,John Lee,,2042
,ARCEDE,Ruel,,1783
,ARELLANO,Vince Albert,,1884
,AREQUE,Jerry,,2120
,ARROYO,Christian,,2077
,Atutubo,Rein Nathaniel,,1613
,AUREADA,Renante,,2111
,AVELLANEDA,Anthony P.,,1766
,AVELLANEDA, Anthony P.,,1758
,AZAOLA,Mark Alfonso L.,,1847
,AZARES,Raniel V.,,1829
,Bacasmas,Gabrielle,F,1806
,Bajarias,Franchezka F.,F,1777
AGM,BALANAY,Marc Francis,,1966
,Baliwang,Mark John T.,,1964
,BALLESTEROS,Larry,,1908
,BALMACEDA,Joseph,,1820
,BATCHO,Ricardo D.,,2176
,BAUTISTA,Ma. Caissa Pauleen,F,1674
,BAUTISTA,Miel V.,,1929
,BAUTISTA,Ruel,,1967
,BAYANI,Bryce Clarence S.,,1988
,BAYLOSIS,Daniel,,2116
,BELTRAN,King Xyan,,2007
,BERENGUILA,Marlon,,1920
,BERNARDINO,Faye,F,1794
NM,BERNARDO,Darry T.,,2236
NM,BIETE,Angele Tenshi T.,,2194
,BONIFACIO,Patrick,,1775
,BRAVO,Mark,,1967
,BRITANICO,Cyril,,1900
,Bueta,Dennis,,1857
,BUETA, Dennis,,1828
,BUNGATO,Elvin,,1566
,BUSA,Nelson Jr.,,2180
AIM,CABALES,John Peter Allen,,2020
,Cacatian,Charles Kentjohn,,1778
,CACHO,Robert C.,,1943
,CAJERAS,Jerich,,2181
,CALAMBA,Christian Jacob,,1795
,Calamba,John Mark,,1648
,CALAR,Erwin P.,,1944
,CALASAN,Antonio Jr.,,1805
,CALUNGSOD,Kiev,,1754
,CANCERAN, Paul Haydrick,,1742
,CANIETE,Mario S.,,1812
NM,CANTELA,Lorenzo Aaron,,2046
NM,CANTELA,Oscar Joseph,,1973
,CAOILE,Michael Arman,,1978
,Caraig,Leo Aldrin,,1950
,CARTEL,Gabriel James,,1915
,CASABUENA,Freddie,,2082
,Castillo,Julio Jose,,1699
,CASTILLO,Sean Ethan,,1599
,CAUBANG,Lance,,1903
,CERVANTES,Kurt Brayden,,1807
,CHUA,Mark Alvin,,1896
,CINCO,Rj Russell Dr.,,1589
,CLARITO,Kyle Jhazmin P.,F,1717
,Clemente,Rogelio,,1851
,COLICOT, Carlos,,1987
,CONSOLACION,Precious,F,
,CONSTANTINO, Marlon,,1970
,CORRE,Jann Gil,,1987
AFM,CORTES,Djon Carlos Francis,,1901
,CREBILLO,Jefte,,2047
,CRISMO,Joshua Hesed G.,,1906
,CRISTE,Jaime,,1978
,Cruz,Amanda,F,1575
,CRUZ,Florel,,1809
,CRUZ,John Ondrei,,
FM,CU,Ivan Travis,,2260
,CUEVA,Adrian,,1709
,CULANGAN,Randy,,1931
,DALAGAN,Sara,F,1925
,DE ASAS,Aaron Francis,,1927
,DE GUIA,Harris,,1998
,DE MESA,John Calvin,,1824
,Dela Cruz,Sonny,,1784
,DELA CRUZ,Jeffrey,,1741
,Dela Cruz,Rudmark,,1900
,DELFIN,Joel,,1928
,DELGADO,Jorge Jr. C.,,1988
,DELOS SANTOS,John Mauricc,,1944
,DELOS SANTOS,Don Tyrone,,2167
,DESPOY,Jianlie,,1726
,Diaz,Ramci,,1768
,Dimatangihan,Alden Shawn,,1713
,Dimatangihan,Anica Shey M.,F,1811
,DIONISIO, Federico,,1796
,DIPAD,Leah Mae,F,1626
,DIRECTO,Romelio,,1940
,Doblon,Ariel,,1784
,DOCOT,Jonathan,,2072
,DOMINGO,Juan Miguel,,
,DONGUINES,John Laurence J.,,2062
,DUENAS,Reianah Mae,,1447
,DULTRA,Jhune Angelo,,1985
,Dumadag,Laurence Wilfred,,1856
,Eclevia,Daniel Gil E.,,1920
,ELLIS,Arnel,,1801
,ELPEDES,Andrew,,1919
,ENRIQUEZ,Michael Q.,,1916
,ERAMIS,Rojie Lyx,,1884
,ESCOBIDO,Elmer,,1613
,Esplana,Manuel,,1849
,ESQUILLO,Jonathan P.,,1741
,Estoril,Andrade,,0
NM,FAELDONIA,Jasper,,2222
,FERNANDEZ,Kyle Nathan,,1789
,FORTUNADO,Jay P C.,,1955
,FORTUS,Allan Recci,,
AIM,FRANCISCO,Cyrus Vladimir,,2194
,FRANCISCO,French Cobi J.,,1970
,FRANCISCO,Gian Carlisle J.,,1735
,GADDI,Marianne Venice,F,1680
AGM,GADDI,Johann Cedrick,,2048
,GADUT,Emcel Jules V.,,1926
,Gafate,Rainier Santi Jesu S.,,1950
,GALANG,Jay-El,,1918
,GALVEZ,Mario,,1797
,GAMIS,Emir,,2023
,GAMUTAN,Emmanuel Joseph,,2002
,Garcia,Caleb Royce,,1956
,GARCIA,Garry,,2118
,Garcia,Iora Megan,,1704
,Garcia,Luke Christian,,1449
,Garcia,Zedekiah Kenmei,,1671
,GARCIA,John Andrew,,2092
IM,GARMA,Chito,,2165
,GELUA,Rhammille Izelle B.,F,1757
,GOLORAN,Jhulo,,2170
,GONZALES,Christian Emmanuel,,1663
,GONZALES,John Stephen,,1893
,GONZALES,Vladimir P.,,2018
,Gravillo,Nathaniel,,1862
,GRAVILLO,Norvin,,2082
,GUATNO,Marlou,,1927
,GUILARAN,Jhorlan James,,1740
,GUMILA,Narciso Jr.,,1995
,Haguimit,Al Nikko,,1699
AIM,HERMIDA,Ronald,,1663
WNM,HERNANDEZ,Lexie Grace,F,2180
,HERRERA,Kristel Shayne,,1786
,HILARIO,Allan Gabriel P.,,1967
,HORNILLA,Reenan,,1977
,HUANG,Aiden,,0
,HUANG,Austin Nicolo,,0
,HUDENCIAL,Gian Melise,F,
,Ingles,Clark Kenneth,,1704
,ISIDRO,Laurice Morissette,F,1530
,JACUTINA,Marcus Louise,,1971
,JACUTINA,Floyd Devon,,1958
,Jallorina,Paul Kira,,1654
ACM,JARAMILLO,Alvin,,1649
,JIMENEZ,Jethro F.,,2023
,JIMENEZ,Ricardo,,2075
,JOCSON,Ritchie,,1996
,JULGADO,Bernard,,1778
,Lacostales,John Michael,,1831
,LAIT,Vladimir Rhegz E.,,2139
,LALIMO,Christenzien Joshua,,2022
,LAPLANA,Michael L.,,1786
AIM,LAT,Jose Lorenzo,,1947
,LEGASPI,Gary,,2135
,LEGASPI,Jeric Marc Euterio R.,,1822
,LIBAY,Domingo,,2013
,LIGON,Francis,,1748
,LIM,Samson Chhiu Chhin Iii,,2096
,LIMPO,Clefzon,,1960
AIM,LIU,Josef Gabriel V.,,1902
NM,LIWAGON,Bob Jones,,1985
,LLERA,Fidel,,1919
,LOBITANA,Rafael M.,,2005
,LUCION,Rommel,,1929
,Lumanao,Jacob,,1595
AIM,LUMIDAO,Mervin,,2002
,MAAMO,Harrison,,2096
,MAAMO,Kian,,1735
,MACASPAC,Adriel Nicolas,,1739
,MACASPAC,Arthur,,1922
,MADERA,John Adonairam O.,,1864
,MAEJAN,Hilson John,,1699
,MAGPUSAO,Almwayne D.,,1888
,Magsalay,Kyros Andrei,,1772
,Mahawan,Arnel Luna Jr.,,2016
AIM,Mahawan,John Paul Luna,,2055
,MALALUAN,Guilberto,,1695
,MANSANERO,Jefferson,,2065
,Manumbilao,Mohammad,,1776
,MANZANERO,Stephen Jr.,,2010
,MARCELLANA,Mark James,,2099
,Marcellano,Charls Leandro L.,,1906
,Marcos,Jeffry,,1846
,MARIANO,Vincent,,2038
,MARIBAO,Alexis Emil,,2098
,MARTICIO,Jeremy B.,,2116
,Matson,Louis Angelo,,1744
NM,MEDINA,Vince Angelo,,2089
,MEDRANO,Dioniver,,1823
,MELENDRES,Leonides Karlo Iii,,1837
,MENDEZ,Sophia Nathalie Y.,F,1600
,MENDOZA,Aeiona Lou Tomas,F,1798
,MENDOZA,Cheyzer Crystal Citadel,F,1828
,MIRANA,Leo,,2041
,Miranda,John Ardee,,1868
,MIRANO,Kevin,,2119
,Montellano,Jerwin,,1743
NM,NAZARIO,Marc Christian,,2075
,NEMIS,Marc,,1880
,NICDAO,Willie Jade,,1949
,OBILLO,Rheybelle A.,,1944
,OCAMPO,Robi S.,,1834
AIM,Omana,Liam Benedict,,1822
,ONCITA,Sumer Justine,,1995
,ORFANEL,James Emerson,,1704
AGM,ORIENDO,Jan Roldan,,2078
,ORNIDO,Adrian Martin,,1774
,OROZCO,John Perzeus,,1987
,Pabiana,Cedrick,,1761
,PABLO,Randy John,,1963
,PABLO,Roy John,,2020
,PADRIGONE,Darwin,,1867
,PALERMO,Ferdinand,,1987
,PALISOC, Robert Christian V.,,1930
,PALMA,Lee Roi,,2218
,PANOPIO,Rodolfo Jr.,,1975
,PANUELOS,Glenn Dale A.,,1832
AIM,PARADERO,Gabriel Ryan,,1928
,PATUBO,L-Mar,,1776
,PE BENITO,Anthony O.,,1944
,PELAEZ,Elijah James,,0
,PEREZ,Ilann,,1954
,PEREZ,Winson,,1817
,PINEDA,Jerwin,,1663
,PINGOL,Reynaldo,,1922
AIM,Puso,King Whisley,,1894
,RAMIREZ,Ezekiel V.,,0
,RANCAP,Kelly T.,,2163
,REBULANAN,Cheryl,F,1626
,RECOSOSA,Ryan,,1994
,REYES,Narquingel,,2148
,REYES,Mark Gerald,,2101
,Rivera,John Luis A.,,1903
,RIVERA,Richfield,,1996
AFM,ROBLES,Prince Paolo,,1899
AIM,ROJO,Jason,,1956
,ROMA,Alvin,,2059
,ROQUE,Joshua,,2050
NM,ROSAUPAN,Carlo Magno,,2039
,ROSAUPAN,Jan Lei Kian,,2022
,RUAYA,Virgen Gil C.,,2023
,RUGASAN,Noralinda,F,
AIM,SAGUBAN,Dave Trevor,,1856
,SALCEDO,Renante,,1954
,SALGADOS,Lennon Hart,,2146
,SALINAS,Roberto Jr.,,1858
,SALUBRE,Junrie,,1909
NM,SALVADOR,Louie,,2205
